ID_Solicitud,Edad,Ciudad,Tipo_Contrato,Antiguedad_Laboral_Anos,Ingresos_Mensuales_MCOP,Vivienda_Actual,Historial_Crediticio,Anos_Historial_Crediticio,Mora_Previa,Nivel_Endeudamiento_Pct,Relacion_Cuota_Ingreso_Pct,Ahorro_Disponible_MCOP,Tipo_Vivienda,Valor_Vivienda_MCOP,Monto_Solicitado_MCOP,Plazo_Anos,Tasa_Interes_EA_Pct,Aplica_Subsidio,Nivel_Riesgo,Estado_Solicitud,Segmento_Cliente
SOL-00014,23,Cartagena,Término fijo,2,40.25,Arrendatario,Bueno,4,No,68.7,30.0,136.4,No VIS,1036.4,900.0,10,11.0,No,Medio,Aprobado,Alta capacidad de pago
SOL-00015,23,Cartagena,Término fijo,7,175.0,Hipotecado,Bueno,3,No,12.1,6.0,119.0,No VIS,1019.0,900.0,25,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00016,23,Medellín,Indefinido,0,42.0,Arrendatario,Bueno,4,No,50.1,29.0,72.6,No VIS,972.6,900.0,15,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00017,23,Pereira,Indefinido,7,32.24,Arrendatario,Malo,4,No,59.0,32.0,83.8,No VIS,983.8,900.0,20,20.0,No,Alto,Rechazado,Alto riesgo financiero
SOL-00018,23,Medellín,Indefinido,8,39.55,Arrendatario,Regular,4,No,63.1,31.0,107.0,No VIS,1007.0,900.0,25,18.2,No,Medio,Rechazado,Alto riesgo financiero
SOL-00019,24,Cartagena,Término fijo,8,3.78,Hipotecado,Bueno,2,No,31.9,16.0,16.6,VIS,75.4,58.8,25,11.0,Sí,Bajo,Rechazado,Posible subsidio Mi Casa Ya
SOL-00020,25,Cali,Indefinido,2,56.88,Arrendatario,Bueno,4,No,48.4,22.0,114.2,No VIS,1014.2,900.0,25,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00021,25,Pereira,Indefinido,9,47.95,Arrendatario,Malo,2,Sí,43.9,25.0,108.0,No VIS,1008.0,900.0,30,16.8,No,Alto,En estudio,Alto riesgo financiero
SOL-00022,22,Bogotá,Indefinido,4,22.75,Arrendatario,Regular,4,No,85.0,52.0,108.8,No VIS,1008.8,900.0,20,17.6,No,Medio,Rechazado,Alto riesgo financiero
SOL-00023,24,Cali,Indefinido,0,3.84,Propietario,Bueno,3,No,33.7,14.0,20.0,VIS,70.4,50.4,25,11.0,Sí,Bajo,Aprobado,Posible subsidio Mi Casa Ya
SOL-00024,22,Cali,Indefinido,3,28.0,Arrendatario,Regular,4,Sí,85.0,42.0,102.2,No VIS,1002.2,900.0,25,14.5,No,Alto,Rechazado,Alto riesgo financiero
SOL-00025,24,Barranquilla,Indefinido,8,23.71,Arrendatario,Regular,3,No,85.0,49.0,53.7,No VIS,953.7,900.0,20,12.7,No,Medio,Rechazado,Alto riesgo financiero
SOL-00026,21,Bucaramanga,Independiente,3,3.85,Hipotecado,Malo,3,Sí,85.0,42.0,52.8,No VIS,206.5,153.7,20,17.7,No,Alto,Rechazado,Independiente o ingreso variable
SOL-00027,23,Villavicencio,Término fijo,0,3.85,Propietario,Bueno,3,No,19.8,13.0,33.1,VIS,80.1,47.0,25,11.0,Sí,Bajo,Aprobado,Posible subsidio Mi Casa Ya
SOL-00028,24,Manizales,Indefinido,6,22.75,Arrendatario,Bueno,3,No,85.0,50.0,75.5,No VIS,975.5,900.0,20,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00029,21,Bogotá,Indefinido,5,3.99,Otro,Regular,2,Sí,57.5,35.0,26.3,VIS,160.7,134.4,20,12.8,Sí,Alto,Rechazado,Posible subsidio Mi Casa Ya
SOL-00030,21,Ibagué,Indefinido,5,4.03,Propietario,Bueno,3,No,30.4,17.0,18.8,VIS,86.0,67.2,30,11.1,Sí,Bajo,Rechazado,Posible subsidio Mi Casa Ya
SOL-00031,25,Bogotá,Término fijo,2,42.0,Arrendatario,Bueno,2,No,55.7,27.0,58.3,No VIS,958.3,900.0,15,11.0,No,Medio,Aprobado,Alta capacidad de pago
SOL-00032,26,Barranquilla,Indefinido,7,33.25,Arrendatario,Regular,3,Sí,70.8,33.0,123.6,No VIS,1023.6,900.0,20,14.2,No,Alto,Rechazado,Alto riesgo financiero
SOL-00033,25,Cúcuta,Término fijo,2,107.1,Arrendatario,Regular,3,No,19.7,8.0,125.3,No VIS,940.1,814.8,25,13.8,No,Bajo,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00034,26,Bogotá,Indefinido,10,105.0,Hipotecado,Regular,4,No,6.3,3.0,130.4,No VIS,392.5,262.1,20,13.5,No,Bajo,Rechazado,Ingreso medio - bajo endeudamiento
SOL-00035,21,Cartagena,Indefinido,5,4.2,Propietario,Bueno,4,No,37.7,21.0,35.6,VIS,119.6,84.0,20,11.0,Sí,Bajo,En estudio,Posible subsidio Mi Casa Ya
SOL-00036,22,Manizales,Término fijo,1,16.8,Arrendatario,Malo,2,No,85.0,63.0,79.4,No VIS,979.4,900.0,15,18.4,No,Alto,En estudio,Alto riesgo financiero
SOL-00037,24,Cali,Término fijo,8,22.4,Arrendatario,Regular,3,Sí,85.0,47.0,127.1,No VIS,1027.1,900.0,25,14.5,No,Alto,Rechazado,Alto riesgo financiero
SOL-00038,25,Medellín,Indefinido,4,26.25,Arrendatario,Regular,4,Sí,64.8,40.0,71.5,No VIS,971.5,900.0,10,16.9,No,Alto,Rechazado,Alto riesgo financiero
SOL-00039,26,Medellín,Indefinido,6,21.72,Arrendatario,Malo,2,No,85.0,41.0,36.3,No VIS,936.3,900.0,30,18.0,No,Alto,Rechazado,Alto riesgo financiero
SOL-00040,24,Montería,Independiente,4,4.2,Propietario,Bueno,3,No,42.9,21.0,30.7,VIS,114.7,84.0,20,12.7,Sí,Medio,Rechazado,Posible subsidio Mi Casa Ya
SOL-00041,26,Bogotá,Indefinido,10,105.0,Hipotecado,Bueno,4,No,10.7,7.0,53.9,No VIS,725.9,672.0,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00042,23,Cali,Independiente,1,105.0,Propietario,Malo,2,Sí,13.5,8.0,84.2,No VIS,899.0,814.8,20,19.4,No,Alto,Aprobado,Independiente o ingreso variable
SOL-00043,26,Bogotá,Indefinido,9,105.0,Propietario,Bueno,4,No,4.9,3.0,49.7,No VIS,385.7,336.0,10,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00044,26,Bogotá,Indefinido,0,105.0,Hipotecado,Regular,3,No,15.5,8.0,77.0,No VIS,917.0,840.0,30,15.3,No,Bajo,Rechazado,Ingreso medio - bajo endeudamiento
SOL-00045,25,Pereira,Indefinido,9,105.0,Hipotecado,Malo,3,No,15.0,6.0,136.2,No VIS,741.0,604.8,30,16.4,No,Medio,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00046,26,Medellín,Indefinido,8,28.24,Arrendatario,Bueno,3,No,83.4,37.0,103.6,No VIS,1003.6,900.0,20,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00047,22,Armenia,Indefinido,4,23.2,Arrendatario,Bueno,3,No,68.8,38.0,47.8,No VIS,947.8,900.0,15,12.7,No,Medio,Rechazado,Alta capacidad de pago
SOL-00048,26,Cali,Indefinido,0,31.16,Arrendatario,Bueno,3,No,83.3,34.0,117.1,No VIS,1017.1,900.0,20,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00049,23,Cali,Término fijo,7,27.3,Arrendatario,Malo,3,Sí,77.2,38.0,131.7,No VIS,1031.7,900.0,25,18.6,No,Alto,Rechazado,Alto riesgo financiero
SOL-00050,23,Bogotá,Indefinido,6,32.2,Arrendatario,Regular,3,Sí,77.3,33.0,50.0,No VIS,950.0,900.0,25,15.2,No,Alto,Rechazado,Alto riesgo financiero
SOL-00051,23,Pasto,Indefinido,7,33.95,Arrendatario,Bueno,2,No,77.0,31.0,119.3,No VIS,1019.3,900.0,30,11.0,No,Medio,En estudio,Alta capacidad de pago
SOL-00052,25,Bogotá,Término fijo,9,42.0,Arrendatario,Bueno,4,No,57.7,25.0,95.9,No VIS,995.9,900.0,25,11.0,No,Medio,Aprobado,Alta capacidad de pago
SOL-00053,26,Cali,Indefinido,4,98.0,Arrendatario,Regular,3,Sí,9.3,4.0,102.5,No VIS,438.5,336.0,25,16.0,No,Medio,Rechazado,Ingreso medio - bajo endeudamiento
SOL-00054,26,Medellín,Indefinido,0,96.99,Arrendatario,Bueno,3,No,17.2,7.0,142.7,No VIS,814.7,672.0,15,11.5,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00055,25,Medellín,Indefinido,9,44.8,Arrendatario,Bueno,4,No,39.5,23.0,34.4,No VIS,934.4,900.0,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00056,21,Barranquilla,Independiente,0,45.85,Arrendatario,Bueno,4,No,54.0,23.0,106.7,No VIS,1006.7,900.0,25,11.0,No,Bajo,En estudio,Alta capacidad de pago
SOL-00057,22,Barranquilla,Indefinido,6,96.25,Propietario,Bueno,2,No,6.7,4.0,39.8,No VIS,443.0,403.2,25,11.6,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00058,25,Bogotá,Indefinido,9,77.65,Hipotecado,Regular,2,No,20.6,10.0,124.8,No VIS,964.8,840.0,15,15.7,No,Bajo,Rechazado,Ingreso medio - bajo endeudamiento
SOL-00059,22,Cali,Término fijo,6,24.5,Arrendatario,Regular,3,No,67.5,42.0,137.5,No VIS,1037.5,900.0,30,16.0,No,Medio,Rechazado,Alto riesgo financiero
SOL-00060,22,Manizales,Indefinido,7,4.2,Hipotecado,Regular,3,Sí,23.9,13.0,12.6,VIS,63.0,50.4,25,14.8,Sí,Medio,Aprobado,Posible subsidio Mi Casa Ya
SOL-00061,26,Medellín,Indefinido,10,91.0,Propietario,Bueno,3,No,18.1,11.0,33.1,No VIS,933.1,900.0,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00062,25,Bogotá,Indefinido,9,90.65,Hipotecado,Regular,2,Sí,18.7,8.0,144.7,No VIS,816.7,672.0,25,14.4,No,Medio,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00063,24,Medellín,Indefinido,9,89.25,Hipotecado,Bueno,2,No,8.4,4.0,141.2,No VIS,463.8,322.6,15,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00064,25,Bogotá,Indefinido,2,87.5,Arrendatario,Regular,4,No,17.0,10.0,140.8,No VIS,980.8,840.0,20,13.5,No,Bajo,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00065,21,Bogotá,Indefinido,6,4.2,Propietario,Regular,3,Sí,58.9,25.0,38.2,VIS,139.0,100.8,25,13.6,Sí,Alto,Rechazado,Posible subsidio Mi Casa Ya
SOL-00066,23,Medellín,Indefinido,2,22.75,Arrendatario,Bueno,2,No,85.0,43.0,90.0,No VIS,990.0,900.0,30,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00067,26,Cali,Indefinido,2,29.75,Arrendatario,Bueno,3,No,52.0,33.0,147.2,No VIS,1047.2,900.0,20,11.0,No,Bajo,Rechazado,Alta capacidad de pago
SOL-00068,26,Bogotá,Término fijo,2,4.2,Propietario,Bueno,3,No,85.0,51.0,137.1,No VIS,342.1,205.0,25,11.0,No,Medio,En estudio,Alto riesgo financiero
SOL-00069,22,Barranquilla,Indefinido,6,30.8,Arrendatario,Bueno,3,No,52.2,32.0,41.7,No VIS,941.7,900.0,20,11.0,No,Bajo,Rechazado,Alta capacidad de pago
SOL-00070,21,Armenia,Término fijo,0,4.2,Propietario,Regular,4,Sí,55.7,35.0,34.4,VIS,175.5,141.1,20,13.5,Sí,Alto,En estudio,Posible subsidio Mi Casa Ya
SOL-00071,22,Montería,Independiente,6,4.2,Propietario,Bueno,2,No,85.0,40.0,115.5,No VIS,275.1,159.6,20,11.0,No,Medio,Rechazado,Independiente o ingreso variable
SOL-00072,24,Ibagué,Término fijo,0,29.05,Arrendatario,Regular,4,Sí,55.4,34.0,46.1,No VIS,946.1,900.0,25,16.0,No,Alto,Rechazado,Alto riesgo financiero
SOL-00073,24,Bogotá,Indefinido,2,87.5,Arrendatario,Regular,3,Sí,11.5,7.0,118.6,No VIS,723.4,604.8,25,13.0,No,Medio,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00074,25,Bogotá,Indefinido,5,35.0,Arrendatario,Bueno,3,No,63.8,28.0,88.2,No VIS,988.2,900.0,10,12.7,No,Medio,Aprobado,Alta capacidad de pago
SOL-00075,26,Cartagena,Indefinido,10,38.5,Arrendatario,Bueno,2,No,60.6,25.0,132.5,No VIS,1032.5,900.0,15,11.0,No,Medio,Aprobado,Alta capacidad de pago
SOL-00076,23,Bogotá,Término fijo,7,52.92,Arrendatario,Bueno,2,No,33.5,19.0,128.3,No VIS,1028.3,900.0,25,11.1,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00077,21,Bogotá,Término fijo,5,4.2,Hipotecado,Malo,3,Sí,66.1,27.0,38.3,VIS,147.5,109.2,15,15.7,Sí,Alto,Rechazado,Posible subsidio Mi Casa Ya
SOL-00078,22,Cali,Indefinido,4,24.5,Arrendatario,Regular,3,Sí,69.4,39.0,39.0,No VIS,939.0,900.0,25,13.1,No,Alto,Rechazado,Alto riesgo financiero
SOL-00079,26,Bogotá,Término fijo,5,25.62,Arrendatario,Regular,2,Sí,69.0,37.0,115.2,No VIS,1015.2,900.0,25,15.6,No,Alto,Rechazado,Alto riesgo financiero
SOL-00080,24,Cartagena,Indefinido,5,29.05,Arrendatario,Regular,2,Sí,71.0,33.0,75.2,No VIS,975.2,900.0,30,13.5,No,Alto,Rechazado,Alto riesgo financiero
SOL-00081,23,Manizales,Término fijo,7,21.88,Arrendatario,Bueno,2,No,85.0,42.0,123.1,No VIS,996.7,873.6,25,11.7,No,Medio,En estudio,Alta capacidad de pago
SOL-00082,23,Pereira,Indefinido,1,42.0,Arrendatario,Bueno,3,No,52.2,21.0,102.3,No VIS,962.5,860.2,20,12.7,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00083,24,Ibagué,Indefinido,2,4.33,Propietario,Regular,3,No,29.5,13.0,24.9,VIS,78.7,53.8,20,13.6,Sí,Bajo,Aprobado,Posible subsidio Mi Casa Ya
SOL-00084,22,Bogotá,Término fijo,0,21.0,Arrendatario,Bueno,3,No,81.5,42.0,30.5,No VIS,886.5,856.0,15,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00085,25,Bucaramanga,Indefinido,3,81.9,Hipotecado,Regular,4,Sí,14.5,9.0,102.9,No VIS,774.9,672.0,30,14.3,No,Medio,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00086,24,Medellín,Indefinido,8,81.9,Propietario,Bueno,4,No,19.1,9.0,80.4,No VIS,752.4,672.0,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00087,26,Barranquilla,Indefinido,10,81.9,Hipotecado,Bueno,3,No,21.1,9.0,69.9,No VIS,795.7,725.8,15,12.2,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00088,25,Bogotá,Indefinido,6,77.35,Hipotecado,Regular,3,Sí,11.7,5.0,148.7,No VIS,548.5,399.8,20,14.4,No,Medio,Rechazado,Ingreso medio - bajo endeudamiento
SOL-00089,26,Bucaramanga,Independiente,0,81.38,Hipotecado,Regular,2,Sí,24.4,11.0,114.0,No VIS,954.0,840.0,30,14.2,No,Medio,Rechazado,Independiente o ingreso variable
SOL-00090,25,Montería,Indefinido,5,80.5,Hipotecado,Regular,4,No,33.8,15.0,94.8,No VIS,994.8,900.0,25,14.0,No,Bajo,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00091,23,Bogotá,Término fijo,7,29.05,Arrendatario,Bueno,3,No,48.9,30.0,134.2,No VIS,984.3,850.1,25,11.0,No,Bajo,Rechazado,Alta capacidad de pago
SOL-00092,25,Bogotá,Término fijo,3,4.41,Propietario,Regular,3,No,22.8,14.0,16.8,VIS,75.6,58.8,20,13.6,Sí,Medio,En estudio,Posible subsidio Mi Casa Ya
SOL-00093,21,Bogotá,Indefinido,3,14.88,Arrendatario,Regular,3,Sí,85.0,59.0,104.4,No VIS,944.4,840.0,10,12.7,No,Alto,Rechazado,Alto riesgo financiero
SOL-00094,25,Medellín,Término fijo,0,4.49,Propietario,Regular,4,Sí,35.9,23.0,35.8,VIS,136.6,100.8,30,12.9,Sí,Alto,Rechazado,Posible subsidio Mi Casa Ya
SOL-00095,24,Bogotá,Independiente,1,4.54,Hipotecado,Bueno,3,No,47.1,28.0,44.8,No VIS,167.4,122.6,15,11.0,No,Medio,Rechazado,Independiente o ingreso variable
SOL-00096,26,Ibagué,Indefinido,4,79.1,Hipotecado,Bueno,4,No,20.1,9.0,58.3,No VIS,730.3,672.0,30,11.5,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00097,25,Medellín,Término fijo,0,78.75,Hipotecado,Malo,2,Sí,19.8,13.0,39.9,No VIS,939.9,900.0,30,19.9,No,Alto,En estudio,Ingreso medio - bajo endeudamiento
SOL-00098,26,Cali,Indefinido,6,74.55,Hipotecado,Bueno,2,No,26.6,16.0,149.1,No VIS,1049.1,900.0,15,11.0,No,Bajo,Rechazado,Alta capacidad de pago
SOL-00099,24,Bucaramanga,Indefinido,0,4.54,Hipotecado,Bueno,4,No,80.2,35.0,99.7,No VIS,250.9,151.2,30,11.8,No,Medio,Rechazado,Alto riesgo financiero
SOL-00100,23,Medellín,Independiente,0,4.55,Propietario,Regular,2,Sí,43.6,18.0,88.7,No VIS,169.3,80.6,25,13.5,No,Alto,Rechazado,Independiente o ingreso variable
SOL-00101,22,Medellín,Indefinido,6,14.7,Arrendatario,Regular,2,Sí,85.0,60.0,70.6,No VIS,910.6,840.0,25,14.6,No,Alto,Rechazado,Alto riesgo financiero
SOL-00102,26,Pereira,Término fijo,2,16.8,Arrendatario,Bueno,4,No,85.0,52.0,83.9,No VIS,923.9,840.0,25,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00103,25,Manizales,Indefinido,1,4.55,Propietario,Regular,3,No,66.8,28.0,123.1,No VIS,244.1,121.0,30,14.6,No,Medio,Rechazado,Alto riesgo financiero
SOL-00104,25,Bogotá,Independiente,1,14.83,Arrendatario,Malo,3,Sí,85.0,59.0,140.0,No VIS,980.0,840.0,25,16.4,No,Alto,Rechazado,Independiente o ingreso variable
SOL-00105,21,Bogotá,Indefinido,4,17.15,Arrendatario,Bueno,2,No,85.0,51.0,42.6,No VIS,882.6,840.0,20,11.0,No,Medio,En estudio,Alta capacidad de pago
SOL-00106,25,Bogotá,Indefinido,0,78.75,Hipotecado,Malo,2,No,20.0,11.0,66.0,No VIS,906.0,840.0,10,18.7,No,Medio,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00107,26,Medellín,Indefinido,1,78.75,Arrendatario,Bueno,4,No,1.8,1.0,52.7,No VIS,153.5,100.8,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00108,23,Bogotá,Indefinido,8,78.75,Arrendatario,Bueno,2,No,6.7,3.0,82.3,No VIS,334.3,252.0,25,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00109,26,Barranquilla,Indefinido,2,78.75,Hipotecado,Bueno,2,No,22.2,11.0,93.7,No VIS,933.7,840.0,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00110,22,Ibagué,Indefinido,5,17.31,Arrendatario,Bueno,3,No,85.0,51.0,116.6,No VIS,956.6,840.0,20,11.8,No,Medio,Rechazado,Alta capacidad de pago
SOL-00111,23,Bogotá,Indefinido,1,17.5,Arrendatario,Bueno,3,No,85.0,50.0,135.1,No VIS,975.1,840.0,15,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00112,25,Cali,Término fijo,4,17.5,Arrendatario,Bueno,2,No,85.0,50.0,95.1,No VIS,935.1,840.0,30,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00113,24,Medellín,Indefinido,2,15.4,Arrendatario,Regular,2,No,85.0,57.0,88.7,No VIS,928.7,840.0,15,15.3,No,Medio,En estudio,Alto riesgo financiero
SOL-00114,23,Cali,Indefinido,1,17.5,Arrendatario,Bueno,4,No,85.0,50.0,99.1,No VIS,939.1,840.0,15,11.8,No,Medio,En estudio,Alta capacidad de pago
SOL-00115,22,Barranquilla,Indefinido,0,17.5,Arrendatario,Bueno,2,No,80.9,50.0,136.6,No VIS,976.6,840.0,25,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00116,22,Cúcuta,Indefinido,3,17.5,Arrendatario,Regular,3,No,85.0,50.0,107.8,No VIS,947.8,840.0,25,12.2,No,Medio,En estudio,Alto riesgo financiero
SOL-00117,22,Bogotá,Indefinido,2,18.2,Arrendatario,Bueno,4,No,85.0,48.0,124.5,No VIS,964.5,840.0,20,11.1,No,Medio,En estudio,Alta capacidad de pago
SOL-00118,23,Bogotá,Indefinido,3,4.62,Propietario,Bueno,4,No,59.3,38.0,116.3,No VIS,282.6,166.3,20,11.0,No,Medio,Rechazado,Alto riesgo financiero
SOL-00119,24,Barranquilla,Independiente,1,77.0,Hipotecado,Bueno,2,No,16.7,11.0,140.8,No VIS,980.8,840.0,30,11.6,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00120,23,Medellín,Término fijo,5,75.6,Hipotecado,Bueno,3,No,16.8,10.0,128.0,No VIS,833.6,705.6,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00121,25,Bogotá,Término fijo,2,75.6,Hipotecado,Regular,3,No,28.0,12.0,70.9,No VIS,910.9,840.0,20,16.1,No,Bajo,En estudio,Ingreso medio - bajo endeudamiento
SOL-00122,26,Bogotá,Indefinido,10,75.6,Hipotecado,Regular,2,Sí,19.3,9.0,132.5,No VIS,804.5,672.0,30,14.2,No,Medio,Rechazado,Ingreso medio - bajo endeudamiento
SOL-00123,23,Cali,Término fijo,7,75.25,Hipotecado,Regular,3,Sí,26.9,16.0,86.1,No VIS,986.1,900.0,30,14.8,No,Medio,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00124,26,Medellín,Indefinido,11,75.25,Hipotecado,Bueno,2,No,12.6,6.0,131.7,No VIS,534.9,403.2,20,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00125,23,Armenia,Indefinido,1,18.2,Arrendatario,Regular,2,No,85.0,48.0,138.7,No VIS,978.7,840.0,20,13.2,No,Medio,Rechazado,Alto riesgo financiero
SOL-00126,26,Medellín,Término fijo,2,16.1,Arrendatario,Regular,4,No,85.0,54.0,112.2,No VIS,952.2,840.0,15,11.9,No,Medio,Rechazado,Alto riesgo financiero
SOL-00127,22,Bogotá,Indefinido,5,18.55,Arrendatario,Regular,4,Sí,85.0,47.0,116.3,No VIS,956.3,840.0,25,13.4,No,Alto,En estudio,Alto riesgo financiero
SOL-00128,26,Barranquilla,Indefinido,0,16.45,Arrendatario,Regular,2,Sí,85.0,53.0,46.9,No VIS,886.9,840.0,25,15.3,No,Alto,En estudio,Alto riesgo financiero
SOL-00129,23,Bogotá,Término fijo,1,16.45,Arrendatario,Malo,2,No,85.0,53.0,68.9,No VIS,908.9,840.0,15,17.9,No,Alto,Rechazado,Alto riesgo financiero
SOL-00130,23,Cali,Término fijo,2,4.62,Hipotecado,Bueno,4,No,25.9,11.0,96.9,No VIS,143.9,47.0,25,11.0,No,Bajo,Aprobado,Ingreso medio - bajo endeudamiento
SOL-00131,21,Cali,Indefinido,0,4.62,Propietario,Regular,4,No,75.1,34.0,30.4,No VIS,181.6,151.2,30,13.0,No,Medio,Rechazado,Alto riesgo financiero
SOL-00132,22,Medellín,Indefinido,6,73.5,Hipotecado,Bueno,4,No,18.8,8.0,131.7,No VIS,669.3,537.6,15,11.0,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00133,26,Manizales,Término fijo,10,73.5,Propietario,Bueno,4,No,21.3,10.0,74.3,No VIS,813.5,739.2,20,11.8,No,Bajo,Aprobado,Alta capacidad de pago
SOL-00134,26,Bogotá,Término fijo,5,16.8,Arrendatario,Malo,2,No,85.0,52.0,116.8,No VIS,956.8,840.0,20,18.4,No,Alto,Rechazado,Alto riesgo financiero
SOL-00135,23,Villavicencio,Indefinido,4,19.25,Arrendatario,Bueno,3,No,85.0,45.0,122.3,No VIS,962.3,840.0,25,11.4,No,Medio,En estudio,Alta capacidad de pago
SOL-00136,23,Manizales,Indefinido,4,19.25,Arrendatario,Regular,3,Sí,85.0,45.0,95.8,No VIS,935.8,840.0,15,15.6,No,Alto,Rechazado,Alto riesgo financiero
SOL-00137,24,Medellín,Indefinido,8,19.31,Arrendatario,Regular,4,Sí,85.0,45.0,124.8,No VIS,964.8,840.0,15,13.2,No,Alto,Rechazado,Alto riesgo financiero
